id_inscripcion,curso,edad,provincia,nivel_educativo,trabaja,horas_trabajo_semanales,experiencia_previa,modalidad_pago,precio_pagado_ars,precio_pagado_usd,dispositivo_principal,hora_inscripcion,logins_semana_1,logins_semana_2,segundos_video_vistos,mensajes_foro,entregas_a_tiempo,nota_primera_entrega,dias_desde_ultimo_login,logins_semana_6,encuesta_salida_completada,abandono
L03158,UX/UI,41,Santa Fe,Universitario,Si,43.0,Si,Pago unico,338000,289.5,Computadora,22,6,3,143585,2,1,5.6,0,5,No,0
L01308,Data Analytics,17,Buenos Aires,Posgrado,No,0.0,No,Cuotas,460000,383.9,Computadora,6,1,1,58284,0,0,,1,3,No,0
L00488,UX/UI,25,CABA,Secundario,Si,26.0,Si,Cuotas,436000,379.1,Celular,5,1,2,62386,4,1,,1,3,No,0
L02257,Data Analytics,23,Otra,Terciario,No,0.0,Si,Cuotas,472000,379.1,Computadora,15,5,4,147424,2,2,8.2,1,3,No,0
L02995,UX-UI,44,Santa Fe,Universitario,Si,48.0,No,Cuotas,436000,357.2,Computadora,15,7,1,60493,1,2,,1,4,No,0
L03046,Data Analytics,36,Otra,Terciario,Si,40.0,No,Beca,70000,60.2,Computadora,6,0,4,79446,0,2,3.9,1,4,No,0
L01842,Programacion Web,18,Buenos Aires,Terciario,No,0.0,Si,Cuotas,519000,437.8,Tablet,0,2,2,92872,3,2,9.1,0,3,No,0
L01194,DATA ANALYTICS,37,Buenos Aires,Universitario,Si,36.0,No,Beca,44000,36.5,Computadora,20,2,1,55424,2,0,6.7,14,3,No,0
L02259,Programación Web,31,Otra,Universitario,Si,35.0,No,Beca,91000,76.3,Celular,4,2,0,29627,0,0,,0,0,Si,1
L01079,Data Analytics,18,Buenos Aires,Universitario,Si,39.0,No,Cuotas,432000,373.8,Computadora,22,2,4,100978,0,1,7.1,3,5,No,0
L00453,Data Analytics,17,Santa Fe,Posgrado,No,0.0,Si,Cuotas,453000,393.3,Computadora,6,3,5,91694,5,1,7.4,0,2,No,0
L03177,Marketing Digital,24,CABA,Secundario,No,0.0,No,Cuotas,315000,261.6,Computadora,12,3,6,89734,0,1,6.9,6,4,No,0
L01299,Marketing Digital,17,Cordoba,Terciario,No,0.0,Si,Cuotas,317000,256.3,Computadora,5,4,4,105453,1,1,8.1,2,2,No,0
L00720,Data Analytics,29,CABA,Universitario,No,0.0,Si,Pago unico,364000,301.9,Computadora,14,3,2,82790,1,1,7.0,1,3,No,0
L01857,UX/UI,28,Cordoba,Posgrado,Si,55.0,No,Pago unico,367000,296.0,Computadora,22,4,3,101653,3,2,6.5,8,0,No,1
L00905,Data Analytics,29,Santa Fe,Secundario,No,0.0,Si,Cuotas,426000,356.4,Tablet,13,1,7,125939,2,2,6.1,2,6,No,0
L02202,Marketing Digital,17,CABA,Universitario,No,0.0,No,Pago unico,285000,230.5,Celular,22,6,6,163375,3,2,8.9,1,6,No,0
L02230,Programacion Web,26,Santa Fe,Posgrado,Si,30.0,No,Pago unico,435000,358.6,Computadora,15,2,3,98837,3,2,7.9,1,1,No,0
L02924,Marketing Digital,17,Buenos Aires,Universitario,No,0.0,Si,Cuotas,322000,274.0,Computadora,6,5,3,111244,1,2,8.5,0,5,No,0
L00185,Programacion Web,46,Buenos Aires,Secundario,No,0.0,No,Beca,64000,51.9,Computadora,15,0,1,23413,1,0,,12,1,No,1
L02742,Python Inicial,42,Mendoza,Terciario,Si,45.0,Si,Cuotas,262000,221.3,Computadora,11,1,4,29885,0,1,,6,2,No,0
L02854,Data Analytics,33,Cordoba,Posgrado,Si,35.0,No,Pago unico,358000,291.2,Celular,16,6,2,102172,2,1,,0,2,No,0
L00187,Python Inicial,22,Mendoza,Posgrado,Si,42.0,No,Pago unico,223000,178.5,Celular,1,1,3,0,1,0,5.8,0,1,No,0
L02727,Mkt Digital,37,Buenos Aires,Universitario,Si,32.0,No,Beca,66000,54.2,Computadora,8,3,7,112862,0,1,,3,3,No,0
L02571,Producto Digital,27,Buenos Aires,Secundario,Si,39.0,Si,Pago unico,324000,274.0,Celular,17,7,2,94205,1,2,6.0,6,4,No,0
L00885,Data Analytics,25,Buenos Aires,Universitario,No,0.0,No,Cuotas,432000,368.5,Computadora,0,2,2,0,0,1,,2,0,No,0
L02806,Programación Web,33,Cordoba,Terciario,No,0.0,No,Beca,89000,72.0,Celular,19,3,3,100342,1,1,6.0,6,0,Si,1
L00737,Programacion Web,27,CABA,Secundario,Si,45.0,No,Cuotas,540000,432.0,Computadora,12,2,2,0,0,1,,7,0,Si,1
L00474,Python Inicial,26,CABA,Terciario,Si,45.0,Si,Pago unico,233000,192.6,Celular,3,5,4,139631,2,1,7.9,3,5,No,0
L02705,Data Analytics,38,Santa Fe,Posgrado,Si,40.0,No,Cuotas,476000,399.0,Computadora,4,0,4,106214,1,0,7.6,4,4,No,0
L02856,Programacion Web,27,CABA,Universitario,Si,40.0,No,Cuotas,499000,420.1,Celular,10,4,0,0,1,1,4.1,0,0,Si,1
L00504,Programacion Web,50,Cordoba,Universitario,Si,41.0,Si,Cuotas,528000,429.5,Celular,8,3,4,0,1,1,,9,0,No,1
L00552,DATA ANALYTICS,20,Santa Fe,Terciario,No,0.0,Si,Beca,75000,61.5,Computadora,10,2,3,96416,1,1,5.9,0,4,No,0
L02142,Programacion Web,32,Buenos Aires,Universitario,Si,33.0,No,Cuotas,508000,420.8,Computadora,9,2,1,84464,3,0,6.0,8,1,Si,1
L00402,Programacion Web,18,Santa Fe,Universitario,No,0.0,No,Cuotas,552000,458.9,Computadora,3,1,0,33755,0,1,,2,0,Si,1
L01577,Marketing Digital,36,Buenos Aires,Universitario,No,0.0,Si,Cuotas,354000,285.1,Celular,8,3,7,141375,1,1,7.8,0,8,No,0
L00092,Data Analytics,18,Otra,Secundario,No,0.0,Si,Pago unico,378000,325.1,Celular,13,5,6,49797,0,2,5.5,1,4,No,0
L02835,Marketing Digital,32,Otra,Terciario,No,0.0,No,Pago unico,281000,242.6,Computadora,17,2,2,74651,0,1,6.0,11,4,No,0
L02130,Data Analytics,28,CABA,Universitario,Si,34.0,Si,Beca,88000,73.1,Celular,6,1,5,104195,0,2,6.2,0,5,No,0
L01004,Marketing Digital,49,Buenos Aires,Universitario,Si,30.0,No,Pago unico,287000,232.4,Computadora,1,2,2,57558,3,0,6.7,9,0,No,1
L01053,Producto Digital,40,Otra,Universitario,No,0.0,Si,Pago unico,322000,261.3,Celular,20,2,1,52336,0,0,7.1,4,1,No,0
L03047,UX/UI,25,Buenos Aires,Terciario,Si,50.0,Si,Pago unico,366000,306.0,Computadora,9,4,4,184192,1,2,10.0,1,5,No,0
L00918,Python Inicial,20,Cordoba,Universitario,Si,47.0,No,Cuotas,292000,240.8,Celular,8,3,5,38806,0,1,,5,0,No,1
L02935,Data Analytics,27,Buenos Aires,Secundario,Si,26.0,No,Cuotas,431000,348.8,Celular,0,3,0,39427,1,0,,1,2,No,0
L00652,Producto Digital,38,Santa Fe,Posgrado,No,0.0,Si,Pago unico,336000,277.4,Tablet,8,1,4,125258,0,2,7.4,0,5,No,0
L02917,Producto Digital,31,CABA,Secundario,No,0.0,No,Cuotas,370000,321.0,Celular,18,1,3,93478,0,1,8.0,0,2,No,0
L02863,UX/UI,24,Otra,Terciario,No,0.0,No,Pago unico,339000,292.8,Celular,1,5,1,109947,0,2,10.0,0,4,No,0
L02052,Marketing Digital,51,CABA,Universitario,Si,41.0,No,Pago unico,264000,217.5,Computadora,21,2,5,72634,3,2,6.2,2,2,No,0
L01910,Data Analytics,17,CABA,Posgrado,Si,18.0,No,Cuotas,434000,359.0,Computadora,2,1,4,65490,0,2,7.9,6,0,No,0
L00766,UX/UI,50,Buenos Aires,Universitario,Si,37.0,No,Pago unico,357000,288.0,Computadora,1,5,1,170365,2,2,,0,4,No,0
L02242,Producto Digital,53,Santa Fe,Universitario,Si,30.0,No,Cuotas,377000,312.6,Computadora,17,1,5,49749,0,0,6.1,6,0,Si,1
L02563,Marketing Digital,39,Santa Fe,Secundario,Si,23.0,Si,Pago unico,284000,228.6,Computadora,9,5,3,80599,0,2,4.4,1,5,No,0
L02155,UX/UI,35,CABA,Universitario,No,0.0,No,Pago unico,369000,318.5,Celular,4,2,2,34352,1,1,,9,0,Si,1
L00921,Programacion Web,20,Buenos Aires,Terciario,Si,29.0,Si,Pago unico,419000,361.3,Celular,10,15,20,182372,3,2,10.0,0,13,No,0
L02823,Python Inicial,20,Otra,Terciario,No,0.0,Si,Beca,16000,13.1,Computadora,9,2,4,91662,2,2,8.5,2,6,No,0
L02603,UX/UI,21,Buenos Aires,Secundario,No,0.0,Si,Cuotas,399000,332.5,Celular,1,5,10,157536,3,2,9.0,0,1,No,0
L02150,Programacion Web,22,Buenos Aires,Universitario,No,0.0,Si,Pago unico,428000,349.2,Computadora,1,2,8,115677,2,2,7.0,2,3,No,0
L02537,Programacion Web,26,Santa Fe,Terciario,Si,28.0,Si,Pago unico,432000,354.7,Computadora,4,7,4,163874,2,2,8.4,0,3,No,0
L00375,Producto Digital,41,Buenos Aires,Universitario,Si,50.0,No,Cuotas,375000,319.4,Celular,6,6,4,136785,1,1,8.0,2,4,No,0
L00637,Marketing Digital,27,CABA,Universitario,No,0.0,No,Cuotas,312000,264.9,Computadora,5,9,2,119070,1,2,7.6,2,7,No,0
L01531,Programacion Web,25,Cordoba,Universitario,Si,48.0,No,Pago unico,446000,360.4,Computadora,7,7,1,86558,2,1,,0,4,No,0
L01974,Marketing Digital,39,Otra,Universitario,No,0.0,No,Cuotas,341000,283.8,Computadora,22,6,3,55196,0,1,3.4,1,1,No,0
L03172,Programacion Web,41,CABA,Universitario,Si,28.0,No,Cuotas,525000,447.9,Celular,7,3,0,73900,1,1,6.4,1,1,No,0
L01332,Python Inicial,22,Otra,Secundario,Si,28.0,No,Pago unico,236000,192.2,Computadora,21,4,4,64653,4,1,5.7,2,3,No,0
L01523,Python Inicial,42,CABA,Universitario,Si,46.0,No,Pago unico,246000,211.9,Celular,5,2,6,120649,0,2,9.7,0,2,No,0
L00645,Programacion Web,24,Mendoza,Universitario,Si,46.0,No,Cuotas,538000,462.2,Celular,12,5,5,113247,1,1,,0,2,No,0
L01516,Programacion Web,17,Cordoba,Secundario,No,0.0,Si,Pago unico,442000,365.4,Computadora,5,3,2,53137,1,2,7.2,0,1,No,0
L03143,Marketing Digital,34,Otra,Posgrado,No,0.0,No,Cuotas,336000,278.6,Computadora,23,4,2,151795,2,2,,2,5,No,0
L00302,Programacion Web,31,Buenos Aires,Secundario,No,0.0,No,Cuotas,486000,422.2,Celular,0,5,3,81324,0,2,7.4,3,5,No,0
L03070,UX/UI,17,CABA,Posgrado,No,0.0,Si,Beca,87000,70.5,Computadora,21,9,5,174773,3,2,6.3,0,9,No,0
L01924,Data Analytics,30,Mendoza,Secundario,No,0.0,No,Pago unico,388000,329.3,Celular,21,3,4,120573,0,2,6.1,2,5,No,0
L00420,Marketing Digital,17,Santa Fe,Universitario,No,0.0,No,Cuotas,316000,257.2,Celular,18,0,1,62566,0,1,5.5,1,2,No,0
L02890,Programacion Web,25,Mendoza,Universitario,No,0.0,No,Cuotas,498000,425.0,Computadora,8,6,3,136162,1,2,7.0,1,5,No,0
L03034,Data Analytics,21,Santa Fe,Terciario,Si,58.0,Si,Cuotas,446000,367.1,Computadora,11,4,1,39671,0,0,,1,0,No,1
L00519,UX/UI,32,CABA,Universitario,Si,38.0,Si,Pago unico,332000,274.3,Celular,14,1,2,109145,1,2,,0,6,No,0
L00605,Python Inicial,20,CABA,Universitario,No,0.0,No,Cuotas,293000,241.3,Computadora,16,7,1,86742,3,1,5.4,0,1,No,0
L00589,Programacion Web,22,Mendoza,Terciario,Si,39.0,No,Cuotas,543000,460.1,Celular,20,5,3,175576,0,2,4.1,5,2,No,0
L01859,Programacion Web,46,Mendoza,Terciario,Si,21.0,No,Pago unico,414000,359.1,Computadora,3,7,3,78605,1,1,7.6,1,3,No,0
L00031,Data Analytics,31,Buenos Aires,Terciario,Si,46.0,No,Pago unico,378000,303.2,Computadora,15,8,5,105357,1,1,5.1,1,3,No,0
L01958,Marketing Digital,30,CABA,Terciario,No,0.0,No,Pago unico,267000,220.3,Computadora,6,4,4,100253,2,1,7.4,1,8,No,0
L00346,UX/UI,34,CABA,Terciario,Si,37.0,No,Pago unico,334000,282.6,Celular,4,2,2,55181,1,1,,2,6,No,0
L02425,Data Analytics,26,CABA,Secundario,No,0.0,Si,Cuotas,470000,387.4,Computadora,4,3,2,64738,2,0,7.4,1,3,No,0
L02794,Python Inicial,21,CABA,Universitario,No,0.0,No,Cuotas,261000,222.1,Computadora,15,9,10,140684,3,2,10.0,0,6,No,0
L00996,Marketing Digital,24,CABA,Terciario,No,0.0,No,Pago unico,292000,251.8,Celular,11,7,3,118204,0,1,8.8,0,2,No,0
L02548,Programacion Web,28,Buenos Aires,Terciario,No,0.0,No,Pago unico,426000,362.9,Computadora,23,8,4,57276,2,2,,11,5,No,0
L01948,Data Analytics,30,Buenos Aires,Secundario,Si,39.0,Si,Beca,27000,22.0,Celular,1,2,0,47945,1,0,,1,1,No,0
L02691,Data Analytics,43,Santa Fe,Universitario,Si,,No,Pago unico,394000,337.7,Computadora,2,7,8,193026,3,2,6.7,1,5,No,0
L01179,DATA ANALYTICS,32,CABA,Secundario,No,0.0,No,Pago unico,359000,297.9,Computadora,5,3,8,165651,1,2,7.2,2,6,No,0
L00876,ux/ui,26,CABA,Posgrado,No,0.0,No,Pago unico,332000,285.5,Computadora,4,5,8,193255,4,2,9.2,0,6,No,0
L02722,UX/UI,17,CABA,Terciario,No,0.0,No,Cuotas,391000,327.6,Computadora,18,1,3,84412,1,2,7.3,2,2,No,0
L00369,Producto Digital,35,Buenos Aires,Universitario,No,0.0,No,Cuotas,406000,325.9,Computadora,7,2,5,35034,2,0,,6,4,No,0
L01806,UX/UI,50,Santa Fe,Terciario,Si,27.0,Si,Pago unico,332000,278.5,Tablet,10,1,1,6329,0,1,4.2,0,0,Si,1
L02953,Python Inicial,25,Mendoza,Universitario,No,0.0,No,Cuotas,298000,239.7,Celular,5,2,2,88304,1,1,5.9,0,4,No,0
L00580,Marketing Digital,25,Mendoza,Secundario,Si,30.0,No,Cuotas,345000,286.2,Computadora,11,6,3,96275,3,1,7.4,1,2,No,0
L01136,Data Analytics,34,Otra,Secundario,Si,,Si,Cuotas,438000,357.6,Computadora,2,2,0,8738,0,0,,6,0,Si,1
L02435,Marketing Digital,25,Buenos Aires,Terciario,No,0.0,Si,Beca,85000,72.7,Computadora,23,2,1,57635,1,1,,2,3,No,0
L01911,Programacion Web,38,Otra,Terciario,Si,,No,Cuotas,504000,409.7,Computadora,0,4,4,145020,0,2,6.4,0,2,No,0
L02908,Data Analytics,38,Otra,Terciario,Si,,No,Cuotas,422000,357.3,Tablet,23,0,1,34425,2,0,,14,1,Si,1
L00538,Data Analytics,30,Santa Fe,Universitario,No,0.0,No,Pago unico,392000,331.0,Computadora,1,6,4,218781,5,2,,0,8,No,0
L00688,UX/UI,20,Mendoza,Universitario,No,0.0,No,Cuotas,402000,337.0,Computadora,5,2,4,134966,1,2,6.0,0,0,No,0
L01945,Programacion Web,25,Buenos Aires,Terciario,Si,,No,Beca,135000,116.4,Celular,17,1,3,23101,0,0,5.5,14,2,No,0
L02829,Programacion Web,34,Cordoba,Terciario,No,0.0,Si,Cuotas,520000,443.5,Computadora,17,2,10,130892,3,2,4.5,1,6,No,0
L01278,Programacion Web,54,CABA,Terciario,Si,31.0,Si,Cuotas,497000,412.1,Computadora,19,4,1,80629,7,2,6.3,5,0,Si,1
L03067,Programacion Web,20,CABA,Terciario,No,0.0,No,Cuotas,542000,470.0,Computadora,1,8,2,61023,0,1,,1,1,No,0
L01037,Data Analytics,33,CABA,Secundario,Si,29.0,No,Cuotas,458000,376.6,Computadora,6,3,1,62645,0,0,,3,5,No,0
L01603,data analytics,38,Santa Fe,Universitario,Si,43.0,No,Cuotas,474000,401.9,Computadora,17,4,1,0,0,0,4.6,4,0,Si,1
L00126,Data Analytics,17,Buenos Aires,Terciario,No,0.0,Si,Cuotas,428000,365.0,Celular,23,4,0,41935,1,0,,1,6,No,0
L00169,Data Analytics,48,Buenos Aires,Universitario,Si,,No,Cuotas,435000,375.6,Computadora,14,2,0,38746,1,0,,2,0,Si,1
L03120,Programacion Web,44,Cordoba,Secundario,Si,40.0,No,Pago unico,412000,350.1,Computadora,23,5,4,145583,4,2,8.8,0,6,No,0
L00827,Programacion Web,25,Buenos Aires,Universitario,Si,24.0,No,Pago unico,445000,380.6,Celular,13,2,3,106030,1,1,6.9,6,1,No,0
L02324,Data Analytics,17,Santa Fe,Secundario,No,0.0,No,Pago unico,373000,321.2,Tablet,0,8,18,224623,6,2,10.0,1,8,No,0
L02250,Python Inicial,24,Cordoba,Posgrado,No,0.0,No,Cuotas,286000,234.6,Tablet,10,12,11,170482,3,2,8.6,0,3,No,0
L01316,Python Inicial,24,Santa Fe,Terciario,No,0.0,No,Cuotas,293000,254.3,Celular,1,4,1,12148,0,1,,3,0,Si,1
L02715,Python Inicial,17,Otra,Secundario,No,0.0,No,Pago unico,235000,198.1,Computadora,23,2,4,85608,4,1,6.5,1,8,No,0
L01135,Producto Digital,40,Buenos Aires,Universitario,Si,33.0,No,Cuotas,374000,322.8,Computadora,20,6,1,111879,1,1,6.3,1,2,No,0
L00460,Data Analytics,37,Buenos Aires,Terciario,Si,32.0,No,Beca,101000,83.5,Computadora,15,3,4,68159,2,2,5.5,3,2,No,0
L00734,Data Analytics,33,Otra,Posgrado,No,0.0,No,Cuotas,483000,403.1,Computadora,11,5,8,103598,1,2,9.4,1,1,No,0
L00943,Marketing Digital,40,Cordoba,Universitario,Si,28.0,No,Pago unico,290000,251.5,Computadora,23,1,1,22335,3,2,7.0,5,1,Si,1
L02541,Python Inicial,31,Otra,Terciario,Si,47.0,Si,Cuotas,267000,231.7,Celular,20,4,7,44131,2,2,,4,2,No,0
L00783,Python Inicial,64,CABA,Universitario,Si,41.0,No,Pago unico,239000,200.7,Tablet,16,6,2,117812,3,1,7.9,5,1,Si,1
L00174,Producto Digital,33,Buenos Aires,Terciario,Si,47.0,No,Pago unico,322000,268.7,Computadora,11,10,6,167128,7,2,10.0,0,6,No,0
L00878,Python Inicial,25,CABA,Terciario,Si,48.0,Si,Pago unico,236000,189.0,Celular,23,6,6,88128,2,2,6.6,3,3,No,0
L00395,Marketing Digital,42,CABA,Universitario,Si,30.0,Si,Cuotas,339000,279.8,Computadora,14,1,4,87913,3,1,6.6,3,4,No,0
L00752,Data Analytics,47,CABA,Terciario,Si,55.0,Si,Cuotas,456000,390.2,Computadora,11,3,4,82269,1,2,5.3,2,3,No,0
L02346,Programacion Web,49,CABA,Universitario,Si,48.0,No,Beca,60000,51.3,Celular,13,5,7,129434,1,2,,1,3,No,0
L03054,Python Inicial,32,CABA,Universitario,No,0.0,No,Cuotas,279000,239.9,Computadora,1,2,1,21506,0,1,4.7,1,4,No,0
L00344,Marketing Digital,22,CABA,Universitario,No,0.0,Si,Pago unico,289000,242.3,Celular,21,3,2,102658,3,0,8.0,2,3,No,0
L00380,Marketing Digital,19,CABA,Secundario,No,0.0,No,Cuotas,339000,277.5,Computadora,19,7,7,132407,2,1,9.9,0,4,No,0
L00522,Producto Digital,33,Buenos Aires,Universitario,Si,31.0,No,Cuotas,406000,333.0,Computadora,5,1,4,76385,1,1,,6,1,No,0
L00698,UX/UI,41,Buenos Aires,Universitario,No,0.0,Si,Cuotas,444000,370.1,Computadora,12,5,4,115441,4,2,8.0,5,4,No,0
L01686,UX/UI,22,Otra,Secundario,No,0.0,No,Cuotas,445000,385.3,Celular,13,2,1,0,0,1,,14,0,Si,1
L02802,Programacion Web,37,Otra,Universitario,Si,41.0,No,Cuotas,523000,425.9,Computadora,17,1,1,60739,1,1,,3,3,No,0
L02694,Python Inicial,25,CABA,Universitario,Si,48.0,No,Cuotas,278000,235.4,Celular,13,1,1,0,1,1,,14,0,Si,1
L01206,Marketing Digital,28,CABA,Terciario,Si,52.0,No,Beca,67000,57.7,Computadora,16,4,2,12911,1,1,,3,1,No,0
L02334,Producto Digital,30,Cordoba,Universitario,No,0.0,No,Cuotas,410000,353.0,Computadora,5,1,2,75058,2,2,4.0,1,1,No,1
L00877,Data Analytics,30,Otra,Secundario,No,0.0,No,Pago unico,367000,299.1,Celular,12,6,1,105620,1,2,6.4,0,0,No,0
L00096,Marketing Digital,31,CABA,Secundario,No,0.0,Si,Pago unico,269000,230.4,Computadora,10,10,4,170482,3,2,4.8,1,2,No,0
L00607,Producto Digital,43,Otra,Secundario,Si,29.0,No,Cuotas,404000,346.6,Celular,13,4,9,178346,1,2,7.6,3,3,No,0
L01226,UX/UI,23,Buenos Aires,Universitario,No,0.0,No,Cuotas,412000,350.7,Celular,1,3,2,124971,0,1,8.0,1,2,No,0
L03079,Programacion Web,17,Otra,Universitario,No,0.0,No,Cuotas,550000,440.5,Computadora,15,1,3,40078,1,0,,2,5,No,0
L00994,Python Inicial,19,CABA,Posgrado,No,0.0,Si,Cuotas,286000,231.6,Computadora,17,4,6,138458,0,2,6.2,1,2,No,0
L00510,Python Inicial,34,Buenos Aires,Universitario,No,0.0,No,Cuotas,281000,236.5,Computadora,11,5,7,148041,1,2,8.5,1,8,No,0
L00655,producto digital,37,CABA,Universitario,No,0.0,No,Cuotas,413000,341.6,Computadora,15,7,4,130530,3,1,10.0,1,2,No,0
L02718,Data Analytics,36,CABA,Universitario,Si,32.0,Si,Pago unico,398000,326.8,Computadora,5,7,14,206399,4,2,9.7,1,11,No,0
L00406,Marketing Digital,22,Buenos Aires,Terciario,No,0.0,No,Pago unico,267000,228.1,Celular,12,5,3,25987,1,1,5.9,8,4,No,0
L00646,Marketing Digital,48,Mendoza,Universitario,Si,29.0,Si,Pago unico,293000,253.9,Computadora,15,3,4,109632,0,0,7.0,6,1,No,0
L00687,Python Inicial,31,CABA,Universitario,No,0.0,Si,Cuotas,296000,237.5,Celular,12,1,0,9108,0,0,,0,2,No,0
L02852,Programacion Web,19,CABA,Universitario,No,0.0,No,Cuotas,504000,412.7,Computadora,14,4,4,94391,0,0,4.6,0,2,No,0
L01503,UX/UI,25,Buenos Aires,Secundario,Si,25.0,Si,Cuotas,433000,366.1,Computadora,15,3,2,77223,1,1,5.9,0,0,No,0
L01505,Python Inicial,38,Buenos Aires,Terciario,Si,49.0,No,Cuotas,293000,239.4,Celular,8,1,3,0,0,0,,1,0,Si,1
L00973,Python Inicial,21,CABA,Terciario,No,0.0,No,Cuotas,280000,227.5,Computadora,20,5,0,131023,0,2,6.8,4,6,No,0
L00249,Data Analytics,25,Buenos Aires,Secundario,No,0.0,No,Pago unico,399000,325.9,Computadora,11,4,9,118093,2,1,4.7,2,3,No,0
L01361,Marketing Digital,21,CABA,Secundario,No,0.0,Si,Pago unico,267000,221.6,Computadora,16,8,8,120916,2,2,9.2,1,6,No,0
L00604,Programacion Web,32,Cordoba,Posgrado,No,0.0,No,Pago unico,452000,365.4,Tablet,18,3,1,116309,0,1,6.8,12,1,No,0
L00283,Data Analytics,34,CABA,Secundario,No,0.0,No,Pago unico,370000,302.9,Celular,9,6,2,102268,0,2,9.3,6,3,No,0
L01775,marketing digital,17,CABA,Posgrado,No,0.0,No,Cuotas,349000,298.2,Computadora,3,6,5,73767,3,2,5.6,4,2,No,0
L02781,Producto Digital,40,CABA,Secundario,No,0.0,Si,Cuotas,399000,328.6,Celular,12,4,3,79418,0,1,5.8,0,3,No,0
L01399,Marketing Digital,39,Buenos Aires,Posgrado,Si,30.0,No,Cuotas,325000,269.4,Computadora,0,3,0,0,0,0,,14,1,No,0
L02494,Producto Digital,17,CABA,Secundario,No,0.0,No,Pago unico,338000,282.3,Celular,12,3,2,75993,3,2,6.3,0,0,No,0
L03092,Marketing Digital,24,Mendoza,Universitario,Si,38.0,No,Cuotas,316000,274.2,Computadora,14,2,4,138455,2,2,9.0,0,2,No,0
L02322,Data Analytics,17,Santa Fe,Universitario,No,0.0,No,Cuotas,474000,395.6,Computadora,7,5,0,65132,2,1,7.2,4,4,No,0
L02766,Producto Digital,37,Otra,Terciario,No,0.0,No,Pago unico,336000,270.9,Computadora,22,2,2,55528,3,1,6.1,2,2,No,0
L00377,Producto Digital,41,CABA,Secundario,Si,42.0,Si,Cuotas,384000,311.2,Computadora,4,4,0,559,2,1,,0,1,No,1
L01858,Python Inicial,26,Buenos Aires,Terciario,Si,36.0,No,Cuotas,286000,243.8,Computadora,11,6,3,154517,0,2,9.3,0,7,No,0
L00352,Python Inicial,23,Buenos Aires,Universitario,No,0.0,No,Cuotas,277000,228.7,Computadora,19,8,1,48111,2,2,,1,6,No,0
L02086,UX/UI,17,CABA,Terciario,No,0.0,No,Cuotas,391000,317.2,Computadora,18,1,5,193510,2,2,8.8,3,2,No,0
L02338,Data Analytics,43,Buenos Aires,Universitario,No,0.0,Si,Cuotas,425000,360.0,Celular,20,1,2,30175,0,0,,5,0,No,1
L00310,Data Analytics,31,CABA,Universitario,No,0.0,Si,Cuotas,474000,384.3,Computadora,20,3,6,84690,1,1,,3,3,No,0
L02384,Python Inicial,32,CABA,Posgrado,No,0.0,No,Pago unico,235000,198.8,Celular,6,5,1,30826,0,0,7.0,2,2,No,0
L01525,Python Inicial,40,CABA,Terciario,Si,50.0,No,Cuotas,271000,222.7,Celular,22,3,0,0,2,1,5.0,1,2,No,0
L00901,Marketing Digital,19,CABA,Posgrado,Si,40.0,No,Cuotas,351000,290.7,Tablet,4,7,2,135759,0,1,5.7,0,4,No,0
L00193,UX/UI,33,Buenos Aires,Universitario,No,0.0,Si,Beca,114000,95.3,Computadora,21,3,1,103124,1,0,,2,1,No,0
L02753,python inicial,40,Santa Fe,Universitario,Si,55.0,No,Pago unico,239000,198.9,Tablet,7,4,7,129634,0,2,7.4,3,2,No,0
L00448,Data Analytics,21,CABA,Universitario,No,0.0,No,Pago unico,369000,307.7,Tablet,5,5,6,121820,1,2,7.2,1,5,No,0
L01465,Python Inicial,57,Buenos Aires,Secundario,Si,36.0,Si,Pago unico,239000,192.3,Computadora,23,4,5,75356,3,1,7.3,5,5,No,0
L03142,Programacion Web,21,CABA,Secundario,No,0.0,Si,Cuotas,530000,458.2,Computadora,6,7,4,100390,2,2,,3,2,No,0
L02149,Python Inicial,23,Otra,Terciario,No,0.0,No,Beca,67000,55.3,Computadora,15,5,0,10186,1,2,,14,1,No,0
L02109,Producto Digital,32,Buenos Aires,Secundario,No,0.0,No,Cuotas,408000,349.0,Computadora,10,2,1,31937,0,0,3.7,1,0,Si,1
L02625,UX/UI,33,CABA,Universitario,Si,33.0,No,Pago unico,339000,288.5,Computadora,11,0,3,97079,1,0,4.9,14,0,Si,1
L01205,Programacion Web,26,Santa Fe,Universitario,No,0.0,No,Pago unico,420000,364.8,Tablet,7,4,3,121720,1,2,8.1,0,8,No,0
L00692,Marketing Digital,36,Otra,Universitario,Si,40.0,No,Pago unico,274000,226.5,Celular,12,2,5,95843,0,2,,1,0,No,0
L02570,Producto Digital,22,Buenos Aires,Universitario,No,0.0,Si,Cuotas,387000,318.9,Computadora,15,7,0,120541,2,2,5.4,1,4,No,0
L02657,ux/ui,34,Santa Fe,Universitario,Si,33.0,No,Pago unico,355000,296.4,Computadora,9,5,3,136502,1,1,7.1,2,3,No,0
L01481,UX/UI,17,Otra,Secundario,Si,37.0,No,Beca,66000,54.8,Computadora,1,3,1,11021,0,1,2.2,14,0,Si,1
L00295,Python Inicial,23,Buenos Aires,Secundario,No,0.0,No,Cuotas,298000,253.1,Computadora,6,5,6,113201,1,0,10.0,2,5,No,0
