id_publicacion,genero_musical,oyentes_mensuales_spotify,capacidad_venue,tipo_venue,sector,precio_original,precio_original_con_cargos,dias_hasta_el_show,dia_semana_show,show_agotado_en_preventa,vendedor_verificado,cantidad_entradas_publicadas,cantidad_fotos_publicacion,precio_publicado,se_vendio,comision_plataforma,precio_reventa
P00197,Pop internacional,15889401,45000,Estadio,Campo,53000,62400,3,Domingo,Si,No,1.0,4.0,111000,1,17000.0,111000.0
P00345,Rock nacional,3281058,15000,Arena,General,29000,33600,5,Lunes,Si,Si,1.0,1.0,56000,1,8000.0,56000.0
P00699,Cumbia,3148108,15000,Arena,General,28000,33900,33,Sabado,Si,Si,1.0,1.0,45000,1,7000.0,45000.0
P00916,Electronica,109470,1500,Club,Campo,40000,47100,32,Sabado,No,Si,2.0,6.0,51000,1,8000.0,51000.0
P01155,Pop internacional,3784313,15000,Arena,Campo,55000,64500,3,Viernes,No,Si,1.0,,70000,1,10000.0,70000.0
P01031,Trap,652833,3300,Teatro,Campo,44000,52100,0,Martes,Si,No,2.0,5.0,49000,1,7000.0,49000.0
P00710,Indie,1077861,5000,Arena,General,26000,31300,2,Miercoles,Si,Si,6.0,5.0,36000,1,5000.0,36000.0
P00530,Trap,28065056,45000,Estadio,Platea Alta,43000,51300,16,Sabado,No,Si,6.0,6.0,89000,1,13000.0,89000.0
P00635,Rock nacional,60000000,84000,Estadio,Campo,69000,84200,10,Sabado,No,Si,6.0,5.0,132000,1,20000.0,132000.0
P00973,Rock nacional,8549965,25000,Estadio,palco,140000,171800,3,Sabado,No,Si,2.0,6.0,227000,1,34000.0,227000.0
P00422,Trap,600721,5000,Arena,Campo,47000,54500,19,Miercoles,No,Si,2.0,,83000,1,12000.0,83000.0
P00527,Pop internacional,60000000,84000,Estadio,general,37000,43600,11,Sabado,Si,Si,4.0,6.0,104000,1,16000.0,104000.0
P00469,Trap,55843,1100,Club,Campo,38000,44100,22,Martes,Si,Si,4.0,8.0,78000,1,12000.0,78000.0
P00233,Trap,16978928,45000,Estadio,Platea Baja,67000,82800,22,Viernes,No,Si,3.0,1.0,146000,1,22000.0,146000.0
P00682,Rock nacional,3457069,8400,Arena,Platea Baja,60000,72800,8,Miercoles,No,No,2.0,2.0,97000,1,15000.0,97000.0
P01230,Trap,91529,1100,Club,Campo,38000,45600,22,Sabado,No,Si,,4.0,64000,1,10000.0,64000.0
P00731,Electronica,774535,8400,Arena,Campo,47000,54200,40,Viernes,No,No,2.0,3.0,55000,1,8000.0,55000.0
P00970,Trap,1382579,5000,Arena,General,24000,28000,11,Sabado,No,Si,3.0,6.0,42000,1,6000.0,42000.0
P00945,Electronica,54969,1100,Club,Campo,40000,47100,23,Martes,No,Si,6.0,1.0,49000,1,7000.0,49000.0
P01385,Trap,870104,5000,Arena,Campo,39000,48300,12,Sabado,No,Si,2.0,8.0,71000,1,11000.0,71000.0
P01178,Pop internacional,1000851,8400,Arena,Platea Baja,56000,66000,1,Sabado,Si,Si,2.0,8.0,63000,1,9000.0,63000.0
P01183,Cumbia,876667,5000,Arena,Platea Baja,52000,63500,0,Sabado,No,Si,1.0,4.0,47000,1,7000.0,47000.0
P00347,Indie,4499211,8400,Arena,Campo,48000,56400,9,Viernes,No,Si,2.0,3.0,103000,1,15000.0,103000.0
P00231,Trap,233214,1100,Club,Platea Alta,29000,33900,2,Domingo,Si,Si,4.0,3.0,39000,1,6000.0,39000.0
P01101,Trap,3243672,8400,Arena,Platea Alta,34000,39500,30,Jueves,No,No,2.0,8.0,59000,1,9000.0,59000.0
P00362,Electronica,239509,1500,Club,Platea Baja,53000,62500,5,Domingo,No,No,2.0,4.0,61000,1,9000.0,61000.0
P00920,Pop internacional,4579674,25000,Estadio,Platea Alta,50000,59600,27,Lunes,No,No,1.0,,102000,1,15000.0,102000.0
P01062,Rock nacional,14490693,25000,Estadio,PALCO,183000,213300,6,Viernes,No,No,2.0,5.0,334000,1,50000.0,334000.0
P00352,Electronica,5113798,15000,Arena,Pl. Baja,60000,69500,7,Viernes,No,Si,2.0,2.0,93000,1,14000.0,93000.0
P01029,Rock nacional,60000000,84000,Estadio,Platea Baja,82000,97500,3,Viernes,No,No,2.0,2.0,108000,1,16000.0,108000.0
P00299,Rock nacional,1181197,8400,Arena,Campo,45000,53900,29,Sabado,Si,No,1.0,5.0,59000,1,9000.0,59000.0
P01377,Indie,14627358,15000,Arena,Platea Alta,41000,50100,2,Lunes,No,No,1.0,6.0,49000,1,7000.0,49000.0
P00407,Trap,442404,3300,Teatro,General,27000,31800,26,Domingo,Si,Si,1.0,6.0,49000,1,7000.0,49000.0
P00654,Cumbia,2002155,5000,Arena,Platea Baja,66000,81200,16,Sabado,Si,Si,3.0,2.0,136000,1,20000.0,136000.0
P00400,Indie,2635569,8400,Arena,General,24000,30000,12,Miercoles,No,Si,1.0,3.0,58000,1,9000.0,58000.0
P01284,Indie,458065,5000,Arena,Platea Baja,58000,68300,29,Viernes,No,Si,1.0,2.0,85000,1,13000.0,85000.0
P01017,Trap,2624668,8400,Arena,Campo,53000,61100,1,Sabado,No,Si,3.0,,62000,1,9000.0,62000.0
P01310,Cumbia,264301,3300,Teatro,Palco,134000,164900,31,Jueves,No,Si,1.0,4.0,185000,1,28000.0,185000.0
P00309,Cumbia,902648,5000,Arena,Platea Baja,57000,68800,17,Martes,No,No,1.0,1.0,86000,1,13000.0,86000.0
P00626,Rock nacional,3695325,15000,Arena,Platea Baja,56000,64700,14,Viernes,No,No,2.0,4.0,107000,1,16000.0,107000.0
P00602,Electronica,7169668,15000,Arena,Platea Baja,57000,69600,24,Jueves,No,Si,4.0,2.0,93000,1,14000.0,93000.0
P00863,Pop internacional,153211,1100,Club,Campo,40000,46900,0,Jueves,No,No,1.0,5.0,27000,1,4000.0,27000.0
P01191,Rock nacional,1755866,5000,Arena,Platea Alta,35000,43100,6,Viernes,Si,No,4.0,1.0,79000,1,12000.0,79000.0
P01339,Trap,118627,1100,Club,Platea Alta,30000,36600,3,Viernes,No,Si,2.0,7.0,39000,1,6000.0,39000.0
P01387,Electronica,627388,3300,Teatro,Platea Alta,41000,48900,16,Viernes,No,Si,1.0,6.0,60000,1,9000.0,60000.0
P00459,Trap,77952,1500,Club,Platea Baja,55000,67700,20,Viernes,No,Si,3.0,1.0,70000,1,10000.0,70000.0
P00788,Electronica,35835662,84000,Estadio,Platea Alta,47000,58000,32,Sabado,No,No,2.0,2.0,80000,1,12000.0,80000.0
P00616,Rock nacional,1849034,8400,Arena,Campo,52000,64800,29,Jueves,No,Si,2.0,4.0,88000,1,13000.0,88000.0
P00535,Trap,2364666,15000,Arena,Platea Alta,38000,46600,19,Martes,No,Si,4.0,,74000,1,11000.0,74000.0
P00767,Rock nacional,248128,1500,Club,Platea Baja,49000,59000,24,Sabado,No,No,4.0,5.0,73000,1,11000.0,73000.0
P00450,Pop internacional,2377571,8400,Arena,Platea Baja,65000,79200,11,Sabado,No,No,1.0,4.0,125000,1,19000.0,125000.0
P00014,Cumbia,10734439,15000,Arena,Palco,171000,209500,8,Viernes,No,Si,3.0,5.0,298000,1,45000.0,298000.0
P01154,Trap,40394779,84000,Estadio,Platea Baja,73000,88600,22,Sabado,No,Si,6.0,7.0,139000,1,21000.0,139000.0
P00541,Trap,497365,8400,Arena,Palco,138000,165000,2,Sabado,No,Si,3.0,1.0,128000,1,19000.0,128000.0
P00894,Trap,4798378,25000,Estadio,Campo,62000,72900,16,Martes,Si,Si,4.0,3.0,187000,1,28000.0,187000.0
P01330,Trap,715056,3300,Teatro,Campo,43000,51500,44,Viernes,No,Si,1.0,7.0,54000,1,8000.0,54000.0
P00545,Trap,2659567,15000,Arena,PLATEA BAJA,61000,74100,22,Viernes,No,Si,2.0,2.0,119000,1,18000.0,119000.0
P00342,Pop internacional,23950077,45000,Estadio,campo,66000,80600,2,Viernes,Si,Si,3.0,3.0,108000,1,16000.0,108000.0
P00280,Trap,2047358,5000,Arena,Platea Alta,38000,44400,4,Jueves,No,Si,4.0,6.0,55000,1,8000.0,55000.0
P01025,Rock nacional,168053,1500,Club,Platea Baja,51000,62700,22,Sabado,No,Si,3.0,6.0,88000,1,13000.0,88000.0
P00318,Cumbia,4198939,8400,Arena,campo,54000,64000,15,Domingo,No,Si,2.0,6.0,80000,1,12000.0,80000.0
P00934,Electronica,60000000,45000,Estadio,Platea Alta,51000,62800,39,Viernes,No,Si,4.0,7.0,85000,1,13000.0,85000.0
P00929,Rock nacional,1749944,8400,Arena,Campo,53000,62000,30,Viernes,Si,Si,2.0,1.0,100000,1,15000.0,100000.0
P00401,Pop internacional,183415,1500,Club,Campo,39000,45100,8,Viernes,No,Si,2.0,7.0,65000,1,10000.0,65000.0
P00336,Pop internacional,876423,5000,Arena,Platea Baja,55000,66500,29,Domingo,Si,Si,2.0,5.0,96000,1,14000.0,96000.0
P00169,Pop internacional,247456,1100,Club,Campo,38000,46700,8,Lunes,Si,Si,2.0,5.0,80000,1,12000.0,80000.0
P00734,Trap,130460,1100,Club,Platea Baja,48000,59600,17,Jueves,No,Si,1.0,2.0,80000,1,12000.0,80000.0
P00873,Rock nacional,3382001,8400,Arena,Campo,47000,56700,3,Martes,No,Si,1.0,3.0,68000,1,10000.0,68000.0
P00506,Pop internacional,712627,3300,Teatro,Platea Alta,32000,38800,9,Viernes,No,No,1.0,2.0,69000,1,10000.0,69000.0
P00658,Rock nacional,55543641,45000,Estadio,Palco,167000,197200,23,Lunes,No,Si,2.0,2.0,290000,1,44000.0,290000.0
P00179,Trap,54182247,25000,Estadio,Platea Baja,65000,80700,15,Viernes,Si,Si,2.0,4.0,167000,1,25000.0,167000.0
P01389,Cumbia,60000000,45000,Estadio,Platea Baja,69000,81900,2,Sabado,No,Si,2.0,6.0,77000,1,12000.0,77000.0
P00366,Indie,1452416,5000,Arena,Platea Alta,38000,45000,36,Sabado,Si,Si,2.0,2.0,70000,1,10000.0,70000.0
P01077,Trap,353530,3300,Teatro,Platea Baja,56000,64900,23,Domingo,Si,Si,2.0,1.0,130000,1,20000.0,130000.0
P01256,Pop internacional,23600466,25000,Estadio,Platea Baja,73000,90000,16,Viernes,No,Si,2.0,4.0,154000,1,23000.0,154000.0
P00320,Rock nacional,121940,1100,Club,campo,36000,42200,10,Miercoles,No,Si,2.0,2.0,70000,1,10000.0,70000.0
P01198,Cumbia,583730,3300,Teatro,Platea Alta,36000,44500,27,Jueves,Si,No,2.0,8.0,72000,1,11000.0,72000.0
P00578,Indie,126989,1100,Club,General,25000,29000,10,Miercoles,No,Si,2.0,1.0,36000,1,5000.0,36000.0
P01174,Rock nacional,1035923,5000,Arena,Platea Baja,55000,67200,19,Viernes,Si,Si,3.0,7.0,142000,1,21000.0,142000.0
P00846,Trap,60000000,45000,Estadio,Palco,166000,202600,11,Martes,No,Si,2.0,3.0,292000,1,44000.0,292000.0
P00356,Trap,2957987,15000,Arena,General,30000,35900,7,Miercoles,Si,No,4.0,8.0,59000,1,9000.0,59000.0
P00285,Rock nacional,26276888,45000,Estadio,Campo,66000,78400,3,Sabado,No,No,6.0,8.0,80000,1,12000.0,80000.0
P00776,Trap,1251215,8400,Arena,General,26000,31500,14,Miercoles,No,Si,1.0,1.0,56000,1,8000.0,56000.0
P00521,Indie,17462812,15000,Arena,Platea Baja,63000,76700,16,Sabado,No,Si,1.0,8.0,161000,1,24000.0,161000.0
P00393,Trap,3604227,8400,Arena,General,23000,27400,6,Viernes,No,No,2.0,1.0,38000,1,6000.0,38000.0
P00587,Electronica,103208,1100,Club,Pl. Alta,33000,40400,41,Viernes,No,Si,1.0,8.0,43000,1,6000.0,43000.0
P01212,Rock nacional,39658663,84000,Estadio,General,38000,43800,32,Viernes,No,No,2.0,1.0,45000,1,7000.0,45000.0
P01039,Rock nacional,8748393,15000,Arena,Campo,54000,65900,11,Sabado,No,Si,1.0,2.0,108000,1,16000.0,108000.0
P00199,Trap,176550,3300,Teatro,Campo,40000,46700,27,Lunes,No,No,2.0,7.0,63000,1,9000.0,63000.0
P01312,Trap,60000000,84000,Estadio,Platea Alta,51000,61300,6,Sabado,No,No,2.0,5.0,103000,1,15000.0,103000.0
P01093,Trap,391647,5000,Arena,Campo,45000,54000,1,Sabado,No,Si,2.0,4.0,38000,1,6000.0,38000.0
P00912,Cumbia,275023,1500,Club,Platea Baja,47000,56800,0,Jueves,No,Si,3.0,8.0,25000,1,4000.0,25000.0
P01304,Cumbia,27638978,45000,Estadio,Platea Baja,69000,83000,10,Viernes,No,Si,1.0,1.0,108000,1,16000.0,108000.0
P00194,Pop internacional,1907362,8400,Arena,Platea Baja,66000,80200,17,Sabado,No,Si,3.0,8.0,135000,1,20000.0,135000.0
P00577,Electronica,3187579,8400,Arena,Platea Alta,42000,52300,19,Martes,No,Si,2.0,6.0,66000,1,10000.0,66000.0
P01136,Pop internacional,111554,1100,Club,Campo,39000,47500,1,Jueves,No,Si,2.0,7.0,32000,1,5000.0,32000.0
P00950,Rock nacional,382633,3300,Teatro,Platea Baja,53000,63000,38,Miercoles,No,Si,1.0,1.0,50000,1,8000.0,50000.0
P01066,Trap,10061322,25000,Estadio,Campo,56000,67100,16,Viernes,Si,Si,1.0,2.0,154000,1,23000.0,154000.0
P00288,Indie,33379454,84000,Estadio,Platea Alta,51000,61100,8,Jueves,No,Si,1.0,,102000,1,15000.0,102000.0
P00538,Cumbia,201971,1100,Club,Platea Baja,46000,55100,6,Sabado,No,Si,3.0,4.0,57000,1,9000.0,57000.0
P01248,Trap,50000,1100,Club,Platea Baja,51000,60100,3,Jueves,No,Si,3.0,4.0,47000,1,7000.0,47000.0
P01159,Pop internacional,55804,1100,Club,PLATEA BAJA,45000,56000,36,Viernes,No,Si,2.0,4.0,73000,1,11000.0,73000.0
P00719,Trap,8396230,15000,Arena,CAMPO,57000,67800,23,Lunes,No,Si,3.0,,106000,1,16000.0,106000.0
P00019,Indie,652049,3300,Teatro,General,23000,26700,21,Viernes,No,Si,2.0,3.0,26000,1,4000.0,26000.0
P00582,Rock nacional,71275,1100,Club,General,22000,26100,1,Viernes,No,Si,1.0,4.0,18000,1,3000.0,18000.0
P00446,Indie,50000,1500,Club,Platea Alta,29000,34400,28,Jueves,No,No,2.0,8.0,38000,1,6000.0,38000.0
P01079,Indie,133666,1500,Club,Platea Alta,35000,40500,28,Jueves,No,No,2.0,4.0,40000,1,6000.0,40000.0
P01208,Cumbia,4770280,15000,Arena,Platea Alta,40000,49900,25,Domingo,Si,Si,3.0,1.0,79000,1,12000.0,79000.0
P00841,Electronica,3097081,8400,Arena,Platea Alta,42000,50600,13,Viernes,Si,No,1.0,4.0,103000,1,15000.0,103000.0
P00440,Trap,155103,5000,Arena,Platea Alta,40000,48300,10,Martes,No,Si,2.0,1.0,82000,1,12000.0,82000.0
P00698,Rock nacional,1536943,8400,Arena,Campo,49000,60600,2,Viernes,Si,No,6.0,1.0,60000,1,9000.0,60000.0
P01139,Cumbia,10634099,8400,Arena,Platea Alta,45000,52900,9,Martes,No,Si,2.0,2.0,87000,1,13000.0,87000.0
P01374,Pop internacional,5578249,15000,Arena,Platea Baja,67000,80400,4,Miercoles,No,No,2.0,1.0,114000,1,17000.0,114000.0
P00823,Electronica,178473,1500,Club,Platea Alta,32000,37700,13,Viernes,Si,No,2.0,3.0,69000,1,10000.0,69000.0
P00757,Electronica,9450608,25000,Estadio,Platea Alta,45000,53700,8,Viernes,Si,Si,3.0,8.0,96000,1,14000.0,96000.0
P01274,Cumbia,1049570,5000,Arena,Platea Baja,64000,73900,17,Viernes,No,No,2.0,7.0,94000,1,14000.0,94000.0
P00926,Cumbia,4378805,15000,Arena,Platea Baja,63000,76300,7,Sabado,No,Si,4.0,5.0,97000,1,15000.0,97000.0
P00697,Trap,12020737,15000,Arena,Campo,58000,68500,999,Miercoles,No,No,2.0,1.0,52000,1,8000.0,52000.0
P00815,Rock nacional,142611,1100,Club,Platea Alta,30000,35100,22,Sabado,No,Si,3.0,6.0,58000,1,9000.0,58000.0
P01349,Pop internacional,130428,1500,Club,platea baja,51000,62600,26,Jueves,No,No,1.0,3.0,64000,1,10000.0,64000.0
P00417,Trap,1547200,15000,Arena,Platea Alta,39000,45000,3,Jueves,No,Si,2.0,3.0,48000,1,7000.0,48000.0
P00310,Indie,89532,1100,Club,Platea Alta,32000,37500,1,Viernes,Si,No,1.0,5.0,37000,1,6000.0,37000.0
P00487,Pop internacional,152211,1100,Club,CAMPO,36000,41800,24,Viernes,No,Si,1.0,6.0,57000,1,9000.0,57000.0
P00354,Electronica,738311,5000,Arena,General,24000,28000,1,Viernes,No,Si,4.0,7.0,23000,1,3000.0,23000.0
P00651,Rock nacional,24801040,25000,Estadio,Campo,57000,66200,2,Lunes,Si,Si,1.0,5.0,88000,1,13000.0,88000.0
P00435,Rock nacional,50000,1100,Club,Platea Baja,54000,65400,2,Miercoles,No,No,3.0,1.0,44000,1,7000.0,44000.0
P00220,Pop internacional,375452,1500,Club,Platea Alta,31000,35900,13,Domingo,No,Si,2.0,2.0,63000,1,9000.0,63000.0
P01195,Pop internacional,1637471,1500,Club,Platea Baja,46000,54400,3,Martes,No,Si,6.0,8.0,42000,1,6000.0,42000.0
P01281,Rock nacional,22814800,84000,Estadio,Platea Baja,82000,96400,6,Martes,No,No,2.0,6.0,168000,1,25000.0,168000.0
P00903,Pop internacional,399513,5000,Arena,Platea Baja,53000,65200,16,Viernes,Si,Si,3.0,2.0,117000,1,18000.0,117000.0
P00559,Rock nacional,1907785,8400,Arena,Platea Baja,62000,74500,33,Martes,No,No,1.0,1.0,82000,1,12000.0,82000.0
P01286,Pop internacional,548072,5000,Arena,Campo,48000,59800,47,Viernes,No,No,2.0,,56000,1,8000.0,56000.0
P01251,Pop internacional,1469104,8400,Arena,General,27000,33100,13,Viernes,No,No,2.0,1.0,54000,1,8000.0,54000.0
P00262,Indie,863497,8400,Arena,Platea Baja,58000,67800,20,Viernes,Si,Si,2.0,5.0,124000,1,19000.0,124000.0
P00889,Pop internacional,2235650,15000,Arena,Campo,43000,51100,31,Sabado,Si,No,2.0,3.0,95000,1,14000.0,95000.0
P01362,Indie,6320008,8400,Arena,Platea Baja,63000,73900,9,Viernes,No,No,4.0,1.0,101000,1,15000.0,101000.0
P00976,Trap,662985,3300,Teatro,Platea Alta,39000,47600,14,Sabado,No,No,3.0,5.0,76000,1,11000.0,76000.0
P01264,Rock nacional,2453374,5000,Arena,Campo,50000,61400,6,Martes,No,Si,1.0,3.0,96000,1,14000.0,96000.0
P00737,Cumbia,696662,3300,Teatro,Platea Baja,59000,70400,30,Viernes,Si,Si,3.0,5.0,78000,1,12000.0,78000.0
P00196,Pop internacional,686676,8400,Arena,campo,49000,59100,7,Viernes,No,No,1.0,7.0,92000,1,14000.0,92000.0
P00323,Pop internacional,1571394,5000,Arena,Campo,46000,54900,51,Viernes,No,Si,4.0,4.0,46000,1,7000.0,46000.0
P01167,Cumbia,795509,3300,Teatro,Platea Alta,40000,48300,3,Lunes,Si,Si,1.0,1.0,52000,1,8000.0,52000.0
P00038,Rock nacional,983644,5000,Arena,General,25000,30500,12,Viernes,No,Si,2.0,3.0,54000,1,8000.0,54000.0
P00591,Pop internacional,1307145,5000,Arena,Campo,49000,58700,24,Jueves,No,Si,1.0,3.0,77000,1,12000.0,77000.0
P01016,Pop internacional,2218671,8400,Arena,Campo,56000,65900,13,Lunes,No,No,2.0,8.0,88000,1,13000.0,88000.0
P00965,Rock nacional,31339672,84000,Estadio,Campo,64000,78900,3,Sabado,No,No,3.0,5.0,80000,1,12000.0,80000.0
P01345,Trap,7180789,15000,Arena,Campo,53000,63300,7,Lunes,No,Si,1.0,1.0,79000,1,12000.0,79000.0
P00906,Rock nacional,50599257,84000,Estadio,General,37000,43100,5,Domingo,Si,Si,,8.0,80000,1,12000.0,80000.0
P01263,Trap,558729,3300,Teatro,General,25000,30700,6,Sabado,No,Si,2.0,3.0,36000,1,5000.0,36000.0
P00994,Trap,6359095,15000,Arena,Campo,47000,57700,29,Viernes,No,No,2.0,8.0,72000,1,11000.0,72000.0
P00725,Cumbia,3330202,15000,Arena,PALCO,162000,201500,1,Jueves,Si,No,1.0,1.0,144000,1,22000.0,144000.0
P00872,Electronica,1442849,8400,Arena,General,26000,31900,31,Lunes,Si,Si,2.0,5.0,43000,1,6000.0,43000.0
P00173,Rock nacional,5955812,8400,Arena,Palco,164000,197700,17,Viernes,Si,Si,1.0,8.0,432000,1,65000.0,432000.0
P00724,Indie,60000000,84000,Estadio,General,34000,40900,11,Martes,Si,No,2.0,4.0,88000,1,13000.0,88000.0
P00085,Trap,50000,1100,Club,Platea Baja,47000,57200,7,Jueves,No,No,1.0,2.0,72000,1,11000.0,72000.0
P00483,Pop internacional,175269,1500,Club,Palco,120000,142300,10,Viernes,No,Si,4.0,5.0,160000,1,24000.0,160000.0
P00130,Electronica,796056,8400,Arena,Platea Alta,42000,51700,37,Miercoles,No,No,,1.0,53000,1,8000.0,53000.0
P01061,Pop internacional,13564672,25000,Estadio,Pl. Baja,73000,84000,8,Jueves,No,Si,1.0,3.0,199000,1,30000.0,199000.0
P00673,Rock nacional,15003729,25000,Estadio,Platea Baja,64000,76400,5,Sabado,Si,Si,2.0,1.0,123000,1,18000.0,123000.0
P00139,Pop internacional,260179,3300,Teatro,Platea Baja,58000,70200,12,Sabado,No,No,2.0,1.0,102000,1,15000.0,102000.0
P00456,Pop internacional,88962,1100,Club,Platea Alta,31000,38000,6,Martes,No,Si,3.0,5.0,57000,1,9000.0,57000.0
P01048,Rock nacional,94430,1100,Club,Platea Alta,26000,31900,24,Martes,No,Si,2.0,1.0,33000,1,5000.0,33000.0
P00501,Pop internacional,60000000,45000,Estadio,Platea Alta,41000,47400,29,Martes,Si,Si,1.0,6.0,115000,1,17000.0,115000.0
P00566,Cumbia,532866,5000,Arena,Campo,44000,55000,9,Lunes,No,Si,4.0,2.0,66000,1,10000.0,66000.0
P01340,Cumbia,577933,3300,Teatro,Campo,46000,54500,16,Miercoles,No,No,2.0,2.0,53000,1,8000.0,53000.0
P00146,Pop internacional,185338,1500,Club,Platea Baja,49000,59800,34,Domingo,No,Si,3.0,3.0,71000,1,11000.0,71000.0
P01110,Pop internacional,188386,1500,Club,Pl. Baja,42000,48500,1,Domingo,Si,No,1.0,2.0,58000,1,9000.0,58000.0
P01037,Electronica,117251,1100,Club,General,21000,25800,14,Viernes,No,Si,2.0,5.0,27000,1,4000.0,27000.0
P00990,Trap,1460058,15000,Arena,Platea Baja,70000,83100,18,Sabado,No,No,,1.0,134000,1,20000.0,134000.0
P00357,Indie,559544,3300,Teatro,general,25000,28800,12,Miercoles,No,Si,1.0,6.0,43000,1,6000.0,43000.0
P00670,Trap,402534,3300,Teatro,General,25000,29000,3,Jueves,No,Si,3.0,5.0,35000,1,5000.0,35000.0
P00850,Pop internacional,50000,1100,Club,PLATEA BAJA,43000,50200,0,Viernes,No,Si,2.0,1.0,35000,1,5000.0,35000.0
P00043,Rock nacional,639851,3300,Teatro,Platea Alta,34000,40300,2,Domingo,No,Si,4.0,7.0,28000,1,4000.0,28000.0
P00694,Cumbia,1538472,5000,Arena,platea alta,40000,47900,24,Lunes,No,Si,1.0,7.0,69000,1,10000.0,69000.0
P00655,Trap,10705212,45000,Estadio,Platea Alta,51000,62300,33,Lunes,No,Si,2.0,,78000,1,12000.0,78000.0
P00128,Pop internacional,50264442,25000,Estadio,Platea Alta,46000,57100,22,Sabado,Si,No,2.0,1.0,90000,1,14000.0,90000.0
P00276,Trap,1535891,8400,Arena,Platea Baja,58000,68500,13,Martes,No,Si,4.0,3.0,97000,1,15000.0,97000.0
P00943,Rock nacional,3819279,15000,Arena,General,34000,41900,3,Domingo,No,Si,6.0,8.0,40000,1,6000.0,40000.0
P01219,Trap,60000000,45000,Estadio,Platea Alta,50000,60200,13,Martes,Si,Si,1.0,7.0,123000,1,18000.0,123000.0
P00282,Trap,251792,1500,Club,General,21000,24300,13,Viernes,No,Si,2.0,3.0,47000,1,7000.0,47000.0
P01291,Rock nacional,738968,3300,Teatro,Platea Baja,52000,64100,18,Miercoles,No,Si,2.0,5.0,94000,1,14000.0,94000.0
P00959,Pop internacional,149285,1500,Club,Platea Baja,45000,53100,7,Miercoles,No,Si,2.0,6.0,84000,1,13000.0,84000.0
P01196,Electronica,10625137,25000,Estadio,Palco,125000,154200,2,Sabado,No,No,1.0,6.0,142000,1,21000.0,142000.0
P00005,Cumbia,410926,3300,Teatro,Campo,44000,52300,22,Viernes,Si,Si,1.0,7.0,92000,1,14000.0,92000.0
P00764,Rock nacional,3659784,15000,Arena,Platea Alta,45000,56200,2,Sabado,Si,No,2.0,4.0,65000,1,10000.0,65000.0
P00457,Cumbia,28630062,45000,Estadio,PLATEA BAJA,82000,102100,20,Sabado,No,Si,6.0,8.0,127000,1,19000.0,127000.0
P01346,Rock nacional,1334884,8400,Arena,General,26000,31400,10,Sabado,No,No,2.0,5.0,41000,1,6000.0,41000.0
P00154,Pop internacional,50000,1500,Club,Campo,40000,48800,36,Viernes,No,Si,1.0,1.0,45000,1,7000.0,45000.0
P00664,Pop internacional,300314,3300,Teatro,General,25000,29000,6,Viernes,Si,Si,2.0,3.0,55000,1,8000.0,55000.0
P00978,Pop internacional,291639,3300,Teatro,Palco,120000,149400,15,Sabado,No,No,1.0,7.0,218000,1,33000.0,218000.0
P00971,Cumbia,267067,3300,Teatro,Platea Baja,59000,72400,11,Viernes,No,Si,1.0,5.0,88000,1,13000.0,88000.0
P00538,Cumbia,201971,1100,Club,Platea Baja,46000,55100,6,Sabado,No,Si,3.0,4.0,57000,1,9000.0,57000.0
P01289,Pop internacional,9859397,15000,Arena,Platea Baja,61000,76100,2,Martes,No,Si,3.0,6.0,80000,1,12000.0,80000.0
P00239,Rock nacional,699168,3300,Teatro,Platea Alta,35000,42400,21,Viernes,Si,No,4.0,6.0,73000,1,11000.0,73000.0
P00550,Pop internacional,27734519,25000,Estadio,Platea Baja,72000,86800,13,Viernes,Si,No,2.0,2.0,213000,1,32000.0,213000.0
P00402,Rock nacional,604124,3300,Teatro,General,27000,32200,2,Domingo,No,Si,2.0,7.0,34000,1,5000.0,34000.0
P00152,Trap,435315,3300,Teatro,Campo,46000,53900,9,Viernes,Si,Si,2.0,6.0,103000,1,15000.0,103000.0
P00324,Cumbia,4317579,15000,Arena,General,27000,31500,17,Martes,Si,No,4.0,8.0,54000,1,8000.0,54000.0
P00504,Rock nacional,629940,3300,Teatro,Platea Baja,54000,64200,2,Viernes,No,Si,4.0,2.0,61000,1,9000.0,61000.0
P00597,Pop internacional,12834767,25000,Estadio,Campo,61000,75000,18,Sabado,Si,Si,2.0,5.0,170000,1,26000.0,170000.0
P00773,Trap,1084631,8400,Arena,platea baja,63000,73500,12,Viernes,Si,No,1.0,2.0,181000,1,27000.0,181000.0
P00513,Pop internacional,60000000,84000,Estadio,Campo,61000,74600,19,Miercoles,No,No,2.0,2.0,112000,1,17000.0,112000.0
P01075,Electronica,1165533,3300,Teatro,Campo,41000,48800,13,Jueves,No,Si,2.0,7.0,72000,1,11000.0,72000.0
P00380,Rock nacional,7940098,15000,Arena,Platea Alta,41000,48200,18,Sabado,Si,No,2.0,,118000,1,18000.0,118000.0
P00549,Indie,2871560,8400,Arena,Campo,48000,58400,14,Sabado,No,Si,3.0,3.0,76000,1,11000.0,76000.0
P00993,Electronica,9064421,25000,Estadio,PLATEA BAJA,70000,85700,12,Martes,No,Si,2.0,4.0,115000,1,17000.0,115000.0
P00621,Electronica,4646082,15000,Arena,Platea Baja,58000,70200,8,Viernes,No,Si,2.0,5.0,102000,1,15000.0,102000.0
P01354,Rock nacional,130271,1500,Club,Pl. Baja,47000,54600,5,Sabado,No,Si,2.0,4.0,63000,1,9000.0,63000.0
